Date,Price,Open,High,Low,Vol.,Change %
2020/2/4,264.1,261.73,264.53,261.1,830.12K,2.61%
2020/2/5,265.35,268.35,268.62,263.45,757.79K,0.47%
2020/2/6,267.48,266.43,267.48,265.14,518.91K,0.80%
2020/2/7,264.98,266.11,267.09,264.4,578.85K,-0.93%
2020/2/10,268.28,263.57,268.34,263.45,550.21K,1.25%
2020/2/11,267.79,270.65,270.85,267,536.31K,-0.18%
2020/2/12,270.64,269.53,270.72,268.1,513.93K,1.06%
2020/2/13,270.09,268.76,271.46,268.31,512.53K,-0.20%
2020/2/14,271.18,270.73,271.76,269.86,482.44K,0.40%
2020/2/18,270.19,269.27,270.63,268.72,721.86K,-0.37%
2020/2/19,273.21,271.72,273.73,271.72,659.27K,1.12%
2020/2/20,270.68,272.89,273.51,266.84,856.70K,-0.93%
2020/2/21,264.68,269.22,269.5,262.94,1.14M,-2.22%
2020/2/24,253.85,252.18,257.25,249,1.96M,-4.09%
2020/2/25,245.78,256,256.88,244.76,1.79M,-3.18%
2020/2/26,246.35,246.32,251.89,244.52,1.79M,0.23%
2020/2/27,233.6,238.22,243.75,233.6,2.52M,-5.18%
2020/2/28,235.65,224.37,237.33,223.79,3.54M,0.88%
2020/3/2,248.02,239.38,248.02,234.98,2.18M,5.25%
2020/3/3,238.97,249.6,251.2,236.48,2.09M,-3.65%
2020/3/4,248.72,244.43,248.9,240.71,951.18K,4.08%
2020/3/5,240.94,242.27,246.85,239.43,948.37K,-3.13%
2020/3/6,235.83,232.99,237.22,229.49,1.69M,-2.12%
2020/3/9,217.65,217.52,227.11,215.45,2.52M,-7.71%
2020/3/10,230.52,225.68,230.52,217.59,3.02M,5.91%
2020/3/11,219.43,224.29,225.54,216.15,1.58M,-4.81%
2020/3/12,197.84,203.3,214.08,197.76,3.46M,-9.84%
2020/3/13,219.63,210.62,219.89,199.26,2.07M,11.01%
2020/3/16,190.01,193.27,206.58,190,1.89M,-13.49%
2020/3/17,201.46,194.11,204.56,187.58,1.58M,6.03%
2020/3/18,194.69,189.28,198,183.01,3.81M,-3.36%
2020/3/19,195,191.57,201.56,187.11,1.33M,0.16%
2020/3/20,187.15,200,201.92,186.79,1.57M,-4.03%
2020/3/23,185.49,186.98,190.33,179.45,1.73M,-0.89%
2020/3/24,204.77,197.2,204.95,196.01,1.56M,10.39%
2020/3/25,204.87,206.88,214.12,200.72,1.82M,0.05%
2020/3/26,217.53,207.26,217.94,207.26,1.66M,6.18%
2020/3/27,207.91,210.94,214.54,207.3,1.44M,-4.42%
2020/3/30,216.14,209.8,216.5,209.73,1.53M,3.96%
2020/3/31,211.9,215.94,219.25,210.75,1.48M,-1.96%
2020/4/1,201.88,204.86,208.8,200.22,1.20M,-4.73%
2020/4/2,205.83,200.84,206.32,200.01,761.30K,1.96%
2020/4/3,202.51,205.05,207.09,200,501.76K,-1.61%
